Date,Open,High,Low,Close,Adj Close,Volume
2019-04-18,37.163601,39.327301,37.090900,39.109100,38.194336,4659050
2019-04-22,38.181801,39.872700,37.145500,39.727299,39.028671,4582490
2019-04-23,39.581799,40.454498,39.509102,39.727299,39.028671,3760790
2019-04-24,39.609100,39.636398,38.700001,39.400002,38.707130,7724860
2019-04-25,39.018200,41.681801,39.018200,41.681801,40.948807,7119750
2019-04-26,42.490898,43.000000,41.609100,42.045502,41.306110,7944640
2019-04-29,42.327301,42.627300,41.645500,42.318199,41.574009,3282400
2019-04-30,42.318199,42.618198,41.400002,42.618198,41.868736,6282100
2019-05-02,42.619999,42.799999,41.310001,41.560001,40.829147,4235400
2019-05-03,41.720001,42.040001,41.299999,41.299999,40.573719,3171400
2019-05-06,40.900002,41.099998,40.529999,40.970001,40.249519,2661700
2019-05-07,40.599998,41.619999,40.209999,41.230000,40.504948,6425700
2019-05-08,41.220001,42.770000,41.209999,42.189999,41.448071,5052600
2019-05-09,41.820000,42.230000,40.930000,41.099998,40.377235,4232300
2019-05-10,41.400002,41.680000,40.660000,41.400002,40.671967,2270200
2019-05-13,40.400002,40.799999,39.849998,40.450001,39.738663,3876500
2019-05-14,40.500000,40.639999,39.869999,40.049999,39.345703,2977800
2019-05-15,39.880001,40.759998,39.099998,40.709999,39.994087,3964000
2019-05-16,39.950001,40.150002,39.360001,39.700001,39.001858,4043600
2019-05-17,39.349998,40.689999,39.000000,39.400002,38.707130,3112200
2019-05-20,39.160000,41.099998,39.160000,40.880001,40.161102,3689500
2019-05-21,41.000000,42.419998,40.799999,42.000000,41.261406,3590400
2019-05-22,42.000000,42.500000,41.259998,41.439999,40.711258,3439700
2019-05-23,41.490002,42.250000,41.189999,41.310001,40.583542,3032200
2019-05-24,41.820000,41.959999,40.410000,41.000000,40.278996,2893500
2019-05-27,41.200001,41.810001,40.810001,41.580002,40.848797,2495300
2019-05-28,41.779999,43.189999,41.650002,43.070000,42.312588,7433100
2019-05-29,42.990002,44.189999,42.599998,43.099998,42.342060,4880400
2019-05-30,43.099998,43.990002,42.689999,43.950001,43.177116,4863900
2019-05-31,43.849998,44.450001,43.459999,44.040001,43.265537,4067700
2019-06-03,44.000000,44.450001,43.330002,43.900002,43.127998,3088800
2019-06-04,44.200001,44.380001,43.160000,43.259998,42.499252,3609100
2019-06-05,43.580002,43.630001,42.220001,42.669998,41.919624,3287300
2019-06-06,43.200001,43.349998,42.080002,43.099998,42.342060,3888600
2019-06-07,43.279999,44.689999,42.709999,44.360001,43.579910,3320800
2019-06-10,44.000000,44.889999,43.939999,44.770000,43.982700,2085100
2019-06-11,44.610001,45.349998,44.380001,45.270000,44.473904,3321300
2019-06-12,45.150002,46.250000,44.900002,45.400002,44.601620,5435000
2019-06-13,46.189999,46.910000,45.590000,45.750000,44.945465,7122800
2019-06-14,45.900002,46.160000,44.860001,45.840000,45.033878,3230500
